plate.no,s1,s2,s1.rate,s2.rate,s1.win,s1.loss,draw,s1.initial.mm,s2.initial.mm,s1.cbh,s2.cbh,s1.phos,s2.phos,s1.nag,s2.nag,s1.lap,s2.lap,s1.bg,s2.bg,s1.perox1,s1.phenox,s1.perox2,s2.perox1,s2.phenox,s2.perox2,s1.density,s2.density,s2.decomp,s1.decomp
25,f.fom.n,h.seti.n,4.71,4.11,0,0,1,13,14,0.4700036292,-0.5108256238,2.7536607124,1.8405496334,2.1282317058,2.2300144002,-2.302585093,-1.2039728043,0.5877866649,1.7404661748,-0.9755100915,0.0544881853,3.6949609244,-1.443923474,-1.7203694731,3.3655356611,0.002375,0.09,6.14045479,21.65586125
26,f.fom.n,h.seti.s,4.71,4.7,0,0,1,15,12,0.4700036292,0.1823215568,2.7536607124,1.3350010667,2.1282317058,1.064710737,-2.302585093,-1.6094379124,0.5877866649,1.1314021115,-0.9755100915,0.0544881853,3.6949609244,-1.6928195214,-0.2169130016,3.3231998035,0.002375,0.03,5.616522775,21.65586125
27,f.fom.n,l.carib.s,4.71,3.77,0,0,1,18,9,0.4700036292,1.0986122887,2.7536607124,0.8329091229,2.1282317058,3.1179499063,-2.302585093,-1.2039728043,0.5877866649,1.7227665977,-0.9755100915,0.0544881853,3.6949609244,-9.210340372,-0.6568152513,3.4576092206,0.002375,0.1,6.091290821,21.65586125
28,f.fom.n,l.conif.n,4.71,5.16,0,0,1,20,7,0.4700036292,0.2623642645,2.7536607124,3.8416005411,2.1282317058,2.533696814,-2.302585093,0.4054651081,0.5877866649,0.955511445,-0.9755100915,0.0544881853,3.6949609244,-4.9618451299,-0.1438703704,3.4754077295,0.002375,0.04,20.55167505,21.65586125
29,f.fom.n,l.crin.s,4.71,6.38,0,0,1,13,14,0.4700036292,-0.5108256238,2.7536607124,-1.2039728043,2.1282317058,1.1939224685,-2.302585093,-2.302585093,0.5877866649,-1.6094379124,-0.9755100915,0.0544881853,3.6949609244,-1.826350914,-1.3432348717,3.0818640972,0.002375,0.05,9.335356141,21.65586125
30,f.fom.n,l.gilb.s,4.71,4.14,0,0,1,18,9,0.4700036292,0.0953101798,2.7536607124,2.2721258855,2.1282317058,2.8564702062,-2.302585093,-1.2039728043,0.5877866649,0.7419373447,-0.9755100915,0.0544881853,3.6949609244,-9.210340372,-9.210340372,3.3649136846,0.002375,0.12,6.846026509,21.65586125
31,f.fom.n,l.huron.n,4.71,3.39,0,0,1,0,0,0.4700036292,0.2623642645,2.7536607124,3.0540011817,2.1282317058,2.1400661635,-2.302585093,-0.6931471806,0.5877866649,0.5877866649,-0.9755100915,0.0544881853,3.6949609244,-9.210340372,-4.1997050779,-9.210340372,0.002375,0.41,6.034048275,21.65586125
32,f.fom.n,m.trem.n,4.71,10.62,0,0,1,9,18,0.4700036292,0.1823215568,2.7536607124,2.3978952728,2.1282317058,1.1314021115,-2.302585093,-9.210340372,0.5877866649,0.7419373447,-0.9755100915,0.0544881853,3.6949609244,-9.210340372,-0.3112919381,2.6779345772,0.002375,0.08,27.56421068,21.65586125
33,f.fom.n,m.trem.s,4.71,9.62,0,0,1,11,16,0.4700036292,0.2623642645,2.7536607124,0.7419373447,2.1282317058,1.064710737,-2.302585093,-9.210340372,0.5877866649,0.6931471806,-0.9755100915,0.0544881853,3.6949609244,-9.210340372,0.8754687374,0.4001175018,0.002375,0.02,16.00854975,21.65586125
35,f.fom.n,p.flav.n,4.71,8.04,0,0,1,16,11,0.4700036292,0.2623642645,2.7536607124,0.6931471806,2.1282317058,0.6931471806,-2.302585093,-1.6094379124,0.5877866649,0.7884573604,-0.9755100915,0.0544881853,3.6949609244,-9.210340372,0.089840704,-9.210340372,0.002375,0.05,22.53629806,21.65586125
